Project Name,Package Name,Architecture Smell,Cause of the Smell
Varsims,com.bina.varsim.tools.simulation,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.bina.varsim.types.variant; com.bina.varsim.types; com.bina.varsim.util.
Varsims,com.bina.varsim.types,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.bina.varsim.util; com.bina.varsim.types.variant; com.bina.varsim.fastqLiftover.types
Varsims,com.bina.varsim.types,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BedFile; ChrString; FlexSeq; FlexSeq.Builder; GenderType; Genotypes; MapRecord; ParentRecord; HostRefIdx]; [ComparisonResultWriter; FileType]; [FlexSeq.Type]; [MapRecord.Feature]; [ReadMapBlock]; [ReadMapRecord]; [SampleParams]; [Sequence]; [VCFInfo; VCFInfoTest]; [VCFInfo.VCFInfoElement]; [AltTest]. LCC (Lack of Component Cohesion) = 0.52
Varsims,com.bina.varsim.types,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bina.varsim.types; com.bina.varsim.util; com.bina.varsim.types
Varsims,com.bina.varsim.types,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bina.varsim.types; com.bina.varsim.types.variant; com.bina.varsim.types
Varsims,com.bina.varsim.types,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bina.varsim.types; com.bina.varsim.types.variant.alt; com.bina.varsim.types
Varsims,com.bina.varsim.types,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bina.varsim.types; com.bina.varsim.types.stats; com.bina.varsim.types.variant; com.bina.varsim.types
Varsims,com.bina.varsim.types.constraint,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.bina.varsim.types.constraint; com.bina.varsim.types.variant; com.bina.varsim.util; com.bina.varsim.types.constraint
Varsims,com.bina.varsim.types.stats,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.bina.varsim.types.variant
Varsims,com.bina.varsim.types.stats,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EnumStatsRatioCounter; StatsRatioRecord; RatioRecord; MapRatioRecordSum; RatioRecordSum; StatsNamespace; MapRatioRecordSumTest]; [MapRatioRecordSum.EventTypesForStats]; [Stats_record; Type_record]. LCC (Lack of Component Cohesion) = 0.3
Varsims,com.bina.varsim.types.variant,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.bina.varsim.util
Varsims,com.bina.varsim.types.variant,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.bina.varsim.types.variant.alt; com.bina.varsim.types.
Varsims,com.bina.varsim.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.bina.varsim.types.constraint
Varsims,com.bina.varsim.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [chrSearchTree]; [ConstraintValidator]; [CreateSequenceDictionary; SimpleReference; VCFWriter; DGVparser; GzFileParser; ReadMap; VCFparser; VCFparserTest; StringUtilities]; [CreateSequenceDictionary.StringCodec]; [VarSimMath]. LCC (Lack of Component Cohesion) = 0.38
Varsims,com.bina.varsim.util,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.bina.varsim.types.variant.alt; com.bina.varsim.types.variant.
