Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Varsims,com.bina.varsim.tools.evaluation,SAMcompare,Law of Demeter violation,The tool detected the smell in this method (run) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.util.ReadMap.getReadMapRecord; com.bina.varsim.types.ReadMapRecord.getUnclippedStarts
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.logging.LoggingCounter; com.bina.varsim.util.chrSearchTree; com.bina.varsim.types.variant.Variant; com.bina.varsim.types.variant.alt.Alt; com.bina.varsim.types.BedFile; com.bina.varsim.util.VCFparser; com.bina.varsim.util.ConstraintValidator
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.getSeqType; com.bina.varsim.types.variant.Variant.getAlt
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.getSeqType; com.bina.varsim.types.variant.Variant.getAlt
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.length
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.length
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.getSequence
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.getSequence
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (canonicalizeVariant) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.getSequence
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getGenotypes; com.bina.varsim.types.Genotypes.isNonRef
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getChr; com.bina.varsim.types.ChrString.getName
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getChr; com.bina.varsim.types.ChrString.getName
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.stats.EnumStatsRatioCounter.getData; com.bina.varsim.types.stats.StatsRatioRecord.computeTN
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.stats.EnumStatsRatioCounter.getData; com.bina.varsim.types.stats.StatsRatioRecord.computeTN
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.stats.EnumStatsRatioCounter.getAllData; com.bina.varsim.types.stats.StatsRatioRecord.computeTN
Varsims,com.bina.varsim.tools.evaluation,VCFcompare,Law of Demeter violation,The tool detected the smell in this method (localMatching) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.stats.EnumStatsRatioCounter.getAllData; com.bina.varsim.types.stats.StatsRatioRecord.computeTN
Varsims,com.bina.varsim.tools.evaluation,VCFCompareResultsParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.VCFparser
Varsims,com.bina.varsim.tools.evaluation,VCFCompareResultsParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Varsims,com.bina.varsim.tools.evaluation,VCFCompareResultsParser,Law of Demeter violation,The tool detected the smell in this method (countVariants) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.tools.evaluation.countVariantsParameters.getIntersector; com.bina.varsim.types.BedFile.containsEndpoints
Varsims,com.bina.varsim.tools,LiftOver,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.types.GenomeInterval; com.bina.varsim.fastqLiftover.types.MapBlocks
Varsims,com.bina.varsim.tools,LiftOver,Law of Demeter violation,The tool detected the smell in this method (run) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.fastqLiftover.types.GenomeInterval.getChromosome; com.bina.varsim.types.ChrString.toString
Varsims,com.bina.varsim.tools,VCFstats,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.ParentRecord; com.bina.varsim.util.VCFparser
Varsims,com.bina.varsim.tools.simulation,RandBED2VCF,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.SimpleReference
Varsims,com.bina.varsim.tools.simulation,RandBED2VCF,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
Varsims,com.bina.varsim.tools.simulation,RandDGV2VCF,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.DGVparser; com.bina.varsim.types.variant.Variant; com.bina.varsim.util.SimpleReference; com.bina.varsim.types.Genotypes
Varsims,com.bina.varsim.tools.simulation,RandDGV2VCF,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
